Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1778.056472
FDW14,OUT017,1531.125812
NCN55,OUT010,652.0854785
FDQ58,OUT017,2082.87272
FDY38,OUT027,5302.665663
FDH56,OUT046,1987.968326
FDL48,OUT018,818.0817574
FDC48,OUT027,2250.804467
FDN33,OUT045,1426.695026
FDA36,OUT017,2845.408222
FDT44,OUT017,1832.528278
FDQ56,OUT045,1450.033462
NCC54,OUT019,688.2526082
FDU11,OUT049,2098.438669
DRL59,OUT013,822.4205718
FDM24,OUT049,2621.272125
FDI57,OUT045,3611.278265
DRC12,OUT018,3143.007148
NCM42,OUT027,2785.928196
FDA46,OUT010,473.40747
FDA31,OUT013,3044.261701
NCJ31,OUT035,3399.205691
FDG52,OUT046,889.6454756
NCL19,OUT019,307.4477116
FDS10,OUT035,3270.361627
FDX22,OUT010,501.244731
NCF19,OUT035,781.188064
NCE06,OUT046,2584.987429
DRC27,OUT046,3586.729792
FDE21,OUT035,2357.058546
NCR42,OUT019,156.0518033
FDX51,OUT018,2802.823444
NCR06,OUT018,759.9826807
FDU31,OUT027,5316.491075
FDU59,OUT017,2203.910581
FDR03,OUT027,5155.611169
FDS49,OUT027,2457.474623
FDD48,OUT010,223.2886856
NCF18,OUT017,3044.261222
NCD43,OUT027,2617.694044
NCD54,OUT018,1946.779371
FDY19,OUT010,260.0582854
NCY54,OUT017,2534.251366
NCL19,OUT018,2039.797218
FDP23,OUT010,540.4018909
FDC26,OUT013,1983.622127
FDR14,OUT010,189.8679007
NCS41,OUT035,3177.449954
FDF41,OUT035,3957.793508
FDU34,OUT046,2047.025389
DRH11,OUT046,1054.448359
FDM03,OUT013,2101.93426
FDS31,OUT017,3131.672017
FDJ20,OUT017,2103.410302
FDV44,OUT027,4820.887973
FDG02,OUT049,2828.83833
FDA09,OUT013,3782.470296
FDT04,OUT013,682.3594783
FDL58,OUT019,603.9530189
FDE52,OUT045,1293.801948
FDW12,OUT035,2673.344459
FDL51,OUT017,3457.278062
NCY42,OUT027,3089.389911
FDR07,OUT017,1900.446387
FDN40,OUT045,2268.850917
FDB35,OUT027,2613.421147
FDA22,OUT017,2777.466859
NCL06,OUT046,3700.10122
FDI35,OUT013,3246.513637
NCW42,OUT045,3396.335138
NCX06,OUT049,3307.341077
FDC37,OUT027,2607.254209
FDZ14,OUT018,1730.027285
DRG49,OUT049,4375.559652
NCG06,OUT045,3761.961352
DRC36,OUT045,2748.461271
FDV21,OUT019,381.8632925
FDB53,OUT046,3008.394975
DRP47,OUT019,593.9667921
FDA14,OUT013,2205.705832
DRC24,OUT035,2755.322105
FDW21,OUT018,1476.125308
NCH29,OUT046,2057.972544
FDU58,OUT013,3020.413754
FDY27,OUT017,2260.261567
FDV56,OUT035,1929.89509
FDT59,OUT046,4015.025997
FDB23,OUT046,3594.974474
FDR49,OUT045,894.5129135
FDB03,OUT010,593.1100719
FDN39,OUT045,2871.826684
FDX02,OUT027,5194.109485
FDQ16,OUT027,2706.046864
FDU35,OUT018,1560.987101
NCT29,OUT013,1759.121232
FDZ27,OUT046,890.0743339
FDN57,OUT017,2317.348982
FDA03,OUT018,2002.272176
FDZ36,OUT045,3248.946523
NCU05,OUT013,1236.686701
FDT39,OUT018,2248.999786
FDK60,OUT017,1674.749784
FDZ25,OUT017,3040.727637
FDG12,OUT046,2252.017445
DRB01,OUT019,590.5980061
NCC43,OUT027,5180.33903
FDX13,OUT019,644.3310366
FDM22,OUT049,950.2339747
FDJ03,OUT027,1994.271105
FDU14,OUT018,3899.76012
FDB33,OUT010,394.7188811
FDP27,OUT046,3356.037977
FDO38,OUT010,193.4634963
FDE28,OUT027,5325.089092
FDO27,OUT035,1643.20604
DRL23,OUT027,2582.240676
FDS28,OUT046,959.3466627
FDX24,OUT013,1244.092069
FDZ02,OUT035,1399.973992
FDL46,OUT045,1645.577549
FDS60,OUT027,4590.15799
NCO06,OUT017,659.1933333
FDO16,OUT035,1643.72923
FDC60,OUT049,1597.247511
FDA48,OUT018,3440.637402
FDZ36,OUT027,4540.397251
FDK27,OUT045,1885.180583
FDW23,OUT018,817.5241289
FDM14,OUT018,1528.962196
FDM14,OUT013,1597.93844
FDW60,OUT018,2697.242847
FDE21,OUT013,1982.92862
NCM42,OUT035,1910.656665
FDY59,OUT010,179.8110729
DRI49,OUT049,1398.960123
FDT28,OUT019,324.4943003
FDQ22,OUT018,718.0904756
FDR60,OUT049,1283.967079
FDC50,OUT019,312.0584082
FDV24,OUT013,2553.063191
DRF48,OUT010,562.317914
FDQ47,OUT046,911.8636603
DRN36,OUT049,1713.340365
NCY06,OUT035,2108.978872
FDE52,OUT035,1415.960812
NCB54,OUT045,1622.35729
NCF31,OUT035,2566.649872
FDJ08,OUT027,4899.410943
NCC07,OUT017,1836.675991
NCD19,OUT027,2061.881259
FDL46,OUT049,1847.557901
FDM20,OUT045,4004.293085
NCI06,OUT010,446.9372632
DRM11,OUT035,3975.997792
NCH07,OUT018,2355.91659
FDS23,OUT013,2007.585501
FDO49,OUT018,821.9663923
FDS35,OUT049,1104.23302
DRK39,OUT045,1327.380292
DRI39,OUT049,917.2340112
FDV04,OUT017,2013.688728
NCN14,OUT035,2801.200545
FDH08,OUT013,3761.89342
FDS20,OUT046,3002.96032
FDV40,OUT049,1141.159111
FDZ48,OUT010,212.7528609
FDS24,OUT027,2537.189501
FDK44,OUT049,2638.059923
FDS48,OUT045,2416.640853
FDK26,OUT010,479.3713787
FDD23,OUT045,3270.12435
NCH54,OUT017,2744.631404
NCP14,OUT010,254.1951355
FDM60,OUT010,144.8990091
FDV24,OUT017,2422.983882
FDH08,OUT018,3116.293169
FDS12,OUT027,3036.138484
FDR39,OUT027,4889.403951
FDP12,OUT027,1776.254569
DRF60,OUT027,5071.925599
FDC09,OUT035,1918.078799
FDF50,OUT018,2963.689304
FDG28,OUT035,3818.290031
NCE19,OUT017,886.205287
NCM53,OUT010,284.1523498
NCN18,OUT049,1595.254685
FDF32,OUT035,3449.514467
FDF11,OUT013,3421.334434
DRI59,OUT049,3963.525906
NCG54,OUT035,3053.286728
FDM44,OUT046,1487.187247
FDT57,OUT018,2510.272484
FDV24,OUT046,2676.235916
FDI50,OUT019,661.5510738
FDS09,OUT035,938.7387915
NCC31,OUT027,4138.505971
FDQ07,OUT019,450.9307645
FDC22,OUT017,3096.31945
FDZ56,OUT046,2534.054424
FDZ40,OUT019,175.3797223
FDS46,OUT027,2866.207061
DRD24,OUT045,1754.420085
FDV45,OUT017,3198.103362
FDL26,OUT045,3020.454359
FDA56,OUT018,1548.438129
FDN27,OUT046,1693.439992
FDM20,OUT049,4257.010133
FDO16,OUT017,1776.03526
FDL03,OUT035,3337.177264
FDE58,OUT046,2006.193732
FDI02,OUT027,2925.531852
NCC55,OUT019,177.9418831
FDR03,OUT018,2973.763599
FDB14,OUT017,1709.276618
FDR45,OUT013,3623.277306
NCN07,OUT017,2007.154568
FDM51,OUT019,287.796684
FDT52,OUT027,5459.456631
FDL26,OUT046,2637.069588
NCZ42,OUT046,3045.04042
DRI47,OUT019,393.6708946
FDW40,OUT013,2283.124984
FDN34,OUT046,3343.4712
FDS01,OUT035,3300.933636
NCG55,OUT045,1662.22719
FDC11,OUT035,1475.963626
FDX35,OUT018,2908.173935
NCB06,OUT046,2506.544763
FDR09,OUT019,545.8892694
FDC53,OUT017,1718.758266
FDY45,OUT013,4032.200681
FDA22,OUT010,461.8173423
FDE02,OUT035,1751.305019
FDW21,OUT045,1642.538727
FDV34,OUT046,1318.370239
FDS59,OUT049,2077.579792
NCW17,OUT017,2450.267099
NCK54,OUT046,1934.991399
FDG17,OUT019,559.6504731
FDG35,OUT017,3404.32606
FDD08,OUT010,142.3992087
NCO07,OUT017,3760.526222
FDJ10,OUT010,329.4284404
FDW36,OUT017,1755.008583
FDW21,OUT010,249.9685365
FDY19,OUT017,2042.243123
DRE03,OUT013,766.0936299
NCC55,OUT049,819.8074605
FDH52,OUT010,168.8173604
FDO09,OUT017,4184.400655
FDU43,OUT045,3745.89836
FDX09,OUT010,450.3302077
FDH40,OUT019,239.5055542
FDW58,OUT017,1896.708676
FDC47,OUT017,4402.066412
NCR41,OUT035,1768.621726
DRG49,OUT035,4467.200047
FDC52,OUT027,4107.546955
FDY13,OUT046,1271.28123
FDY35,OUT013,894.7626839
FDI35,OUT017,3790.38226
NCU18,OUT049,2558.724877
FDY33,OUT018,2662.385591
FDC15,OUT027,4037.018518
FDU01,OUT049,3114.85836
NCU42,OUT046,2960.769883
NCV29,OUT018,2406.535235
NCY30,OUT017,3070.593422
FDQ46,OUT049,1818.858767
FDG58,OUT027,3967.154493
